noga_slug,nace_slug,noga_level,nace_level,noga_code,nace_code,noga_uri,nace_uri,section,noga_label_en,noga_label_de,noga_label_fr,noga_label_it,nace_label_en,nace_label_bg,nace_label_cs,nace_label_da,nace_label_de,nace_label_el,nace_label_es,nace_label_et,nace_label_fi,nace_label_fr,nace_label_hr,nace_label_hu,nace_label_it,nace_label_lt,nace_label_lv,nace_label_mt,nace_label_nl,nace_label_no,nace_label_pl,nace_label_pt,nace_label_ro,nace_label_ru,nace_label_sk,nace_label_sl,nace_label_sv,nace_label_tr
noga-m-69,nace-69-1,division,group,69,69.1,https://register.ld.admin.ch/i14y/concept/nogaCode/69,http://data.europa.eu/ux2/nace2/691,M,Legal and accounting activities,"Rechts- und Steuerberatung, Wirtschaftsprüfung",Activités juridiques et comptables,Attività legali e contabilità,Legal activities,Юридически дейности,Právní činnosti,Juridisk bistand,Rechtsberatung,Νομικές δραστηριότητες,Actividades jurídicas,Juriidilised toimingud,Lakiasiainpalvelut,Activités juridiques,Pravne djelatnosti,Jogi tevékenység,Attività degli studi legali,Teisinė veikla,Juridiskie pakalpojumi,Attivitajiet legali,Rechtskundige dienstverlening,Juridisk tjenesteyting,Działalność prawnicza,Actividades jurídicas,Activităţi juridice,Юридические услуги,Právne činnosti,Pravne dejavnosti,Juridisk verksamhet,Hukuk faaliyetleri
noga-m-69,nace-69-2,division,group,69,69.2,https://register.ld.admin.ch/i14y/concept/nogaCode/69,http://data.europa.eu/ux2/nace2/692,M,Legal and accounting activities,"Rechts- und Steuerberatung, Wirtschaftsprüfung",Activités juridiques et comptables,Attività legali e contabilità,"Accounting, bookkeeping and auditing activities; tax consultancy",Счетоводни и одиторски дейности; данъчни консултации,Účetnické a auditorské činnosti; daňové poradenství,Bogføring og revision; skatterådgivning,Wirtschaftsprüfung und Steuerberatung; Buchführung,"Δραστηριότητες λογιστικής, τήρησης βιβλίων και λογιστικού ελέγχου· παροχή φορολογικών συμβουλών","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal","Arvepidamine, raamatupidamine ja auditeerimine; maksualane nõustamine","Laskentatoimi, kirjanpito ja tilintarkastus; veroneuvonta",Activités comptables,"Računovodstvene, knjigovodstvene i revizijske djelatnosti; porezno savjetovanje","Számviteli, könyvvizsgálói, adószakértői tevékenység","Contabilità, , controllo e revisione contabile, consulenza in materia fiscale","Apskaitos, buhalterijos ir audito veikla; konsultacijos mokesčių klausimais","Uzskaites, grāmatvedības, audita un revīzijas pakalpojumi; konsultēšana nodokļu jautājumos","Attivitajiet ta' kontabilità, żamma tal-kontijiet u verifika; konsulenza dwar taxxa","Accountants, boekhouders en belastingconsulenten","Regnskap, revisjon og skatterådgivning",Działalność rachunkowo-księgowa; doradztwo podatkowe,Actividades de contabilidade e auditoria; consultoria fiscal,Activităţi de contabilitate şi audit financiar; consultanţă în domeniul fiscal,Деятельность в области бухгалтерского учета и аудита; консультации по налогообложению,"Účtovnícke a audítorské činnosti, vedenie účtovných kníh; daňové poradenstvo","Računovodske, knjigovodske in revizijske dejavnosti; davčno svetovanje","Redovisning och bokföring, revision, skatterådgivning","Muhasebe, defter tutma ve denetim faaliyetleri; vergi danışmanlığı"
noga-m-70,nace-70-1,division,group,70,70.1,https://register.ld.admin.ch/i14y/concept/nogaCode/70,http://data.europa.eu/ux2/nace2/701,M,Activities of head offices; management consultancy activities,Verwaltung und Führung von Unternehmen und Betrieben; Unternehmensberatung,Activités des sièges sociaux; conseil de gestion,Attività di sedi centrali; consulenza gestionale,Activities of head offices,Дейност на централни офиси,Činnosti vedení podniků,Hovedsæders virksomhed,Verwaltung und Führung von Unternehmen und Betrieben,Δραστηριότητες κεντρικών γραφείων,Actividades de las sedes centrales,Peakontorite tegevus,Pääkonttorien toiminta,Activités des sièges sociaux,Upravljačke djelatnosti,Üzletvezetés,Attività di sedi centrali,Pagrindinių buveinių veikla,Centrālo biroju darbība,Attivitajiet ta' uffiċċji ċentrali,Activiteiten van hoofdkantoren,Hovedkontortjenester,Działalność firm centralnych (head offices),Actividades das sedes sociais,"Activităţi ale direcţiilor(centralelor), birourilor administrative centralizate",Деятельность головных компаний,Vedenie firiem,Dejavnost uprav podjetij,Verksamheter som utövas av huvudkontor,İdare merkezi faaliyetleri
noga-m-70,nace-70-2,division,group,70,70.2,https://register.ld.admin.ch/i14y/concept/nogaCode/70,http://data.europa.eu/ux2/nace2/702,M,Activities of head offices; management consultancy activities,Verwaltung und Führung von Unternehmen und Betrieben; Unternehmensberatung,Activités des sièges sociaux; conseil de gestion,Attività di sedi centrali; consulenza gestionale,Management consultancy activities,Консултантски дейности в областта на управлението,Poradenství v oblasti řízení,Virksomhedsrådgivning,Public-Relations- und Unternehmensberatung,Δραστηριότητες παροχής συμβουλών διαχείρισης,Actividades de consultoría de gestión empresarial,Juhtimisalane nõustamine,Liikkeenjohdon konsultointi,Conseil de gestion,Savjetovanje u vezi s upravljanjem,Üzletviteli tanácsadás,Attività di consulenza gestionale,Konsultacinė valdymo veikla,Vadības konsultāciju pakalpojumi,Attivitajiet ta' konsulenza dwar ġestjoni,Adviesbureaus op het gebied van bedrijfsbeheer,Administrativ rådgivning,Doradztwo związane z zarządzaniem,Actividades de consultoria para a gestão,Activităţi de consultanţă în management,Деятельность по консультированию по вопросам управления,Poradenstvo v oblasti riadenia,Podjetniško in poslovno svetovanje,Konsulttjänster till företag,İdari danışmanlık faaliyetleri
noga-m-71,nace-71-1,division,group,71,71.1,https://register.ld.admin.ch/i14y/concept/nogaCode/71,http://data.europa.eu/ux2/nace2/711,M,Architectural and engineering activities; technical testing and analysis,"Architektur- und Ingenieurbüros; technische, physikalische und chemische Untersuchung",Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques,Attività degli studi di architettura e d'ingegneria; collaudi e analisi tecniche,Architectural and engineering activities and related technical consultancy,Архитектурни и инженерни дейности,Architektonické a inženýrské činnosti a související technické poradenství,Arkitekt- og ingeniørvirksomhed og lignende teknisk rådgivning,Architektur- und Ingenieurbüros,Δραστηριότητες αρχιτεκτόνων και μηχανικών και συναφείς δραστηριότητες παροχής τεχνικών συμβουλών,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,Arhitekti- ja inseneritegevused ning nendega seotud tehniline nõustamine,Arkkitehti- ja insinööripalvelut ja niihin liittyvä tekninen konsultointi,Activités d'architecture et d'ingénierie,Arhitektonske djelatnosti i inženjerstvo te s njima povezano tehničko savjetovanje,"Építészmérnöki tevékenység; műszaki vizsgálat, elemzés","Attività degli studi di architettura, ingegneria e altri studi tecnici",Architektūros ir inžinerijos veikla bei su ja susijusios techninės konsultacijos,Arhitektūras un projektēšanas pakalpojumi un konsultācijas,Attivitajiet ta' arkitettura u inġinerija u konsulenza teknika relatata,"Architecten, ingenieurs en aanverwante technische adviseurs",Arkitektvirksomhet og teknisk konsulentvirksomhet,Działalność w zakresie architektury i inżynierii oraz związane z nią doradztwo techniczne,"Actividades de arquitectura, de engenharia e técnicas afins","Activităţi de arhitectură, inginerie şi servicii de consultanţă tehnică legate de acestea","Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях",Architektonické a inžinierske činnosti a súvisiace technické poradenstvo,Arhitekturno in tehnično projektiranje in s tem povezano svetovanje,Arkitekt- och teknisk konsultverksamhet o.d.,Mimarlık ve mühendislik faaliyetleri ve ilgili teknik danışmanlık
noga-m-71,nace-71-2,division,group,71,71.2,https://register.ld.admin.ch/i14y/concept/nogaCode/71,http://data.europa.eu/ux2/nace2/712,M,Architectural and engineering activities; technical testing and analysis,"Architektur- und Ingenieurbüros; technische, physikalische und chemische Untersuchung",Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques,Attività degli studi di architettura e d'ingegneria; collaudi e analisi tecniche,Technical testing and analysis,Технически изпитвания и анализи,Technické zkoušky a analýzy,Teknisk afprøvning og analyse,"Technische, physikalische und chemische Untersuchung",Τεχνικές δοκιμές και αναλύσεις,Ensayos y análisis técnicos,Teimimine ja analüüs,Tekninen testaus ja analysointi,Activités de contrôle et analyses techniques,Tehničko ispitivanje i analiza,"Műszaki vizsgálat, elemzés",Collaudi e analisi tecniche,Techninis tikrinimas ir analizė,Tehniskā pārbaude un analīze,Testijiet tekniċi u analiżi,Technische testen en toetsen,Teknisk prøving og analyse,Badania i analizy techniczne,Actividades de ensaios e análises técnicas,Activităţi de testări şi analize tehnice,Технические испытания и анализы,Technické testovanie a analýzy,Tehnično preizkušanje in analiziranje,Teknisk provning och analys,Teknik test ve analiz faaliyetleri
noga-m-72,nace-72-1,division,group,72,72.1,https://register.ld.admin.ch/i14y/concept/nogaCode/72,http://data.europa.eu/ux2/nace2/721,M,Scientific research and development,Forschung und Entwicklung,Recherche développement scientifique,Ricerca scientifica e sviluppo,Research and experimental development on natural sciences and engineering,"Научноизследователска и развойна дейност в областта на естествените, медицинските, селскостопанските и техническите науки",Výzkum a vývoj v oblasti přírodních a technických věd,Forskning og eksperimentel udvikling inden for naturvidenskab og teknik,"Forschung und Entwicklung im Bereich Natur-, Ingenieur-, Agrarwissenschaften und Medizin",Έρευνα και πειραματική ανάπτυξη στις φυσικές επιστήμες και τη μηχανική,Investigación y desarrollo experimental en ciencias naturales y técnicas,Teadus- ja arendustegevus loodus- ja tehnikateaduste vallas,Luonnontieteen ja tekniikan tutkimus ja kehittäminen,Recherche-développement en sciences physiques et naturelles,"Istraživanje i eksperimentalni razvoj u prirodnim, tehničkim i tehnološkim znanostima","Természettudományi, műszaki kutatás, fejlesztés",Ricerca e sviluppo sperimentale nel campo delle scienze naturali e dell'ingegneria,Gamtos mokslų ir inžinerijos moksliniai tyrimai ir taikomoji veikla,Pētījumu un eksperimentālo izstrāžu veikšana dabaszinātnēs un inženierzinātnēs,Riċerka u żvilupp esperimentali dwar xjenzi naturali u inġinerija,Speur- en ontwikkelingswerk op natuurwetenschappelijk gebied,Forskning og utviklingsarbeid innen naturvitenskap og teknikk,Badania naukowe i prace rozwojowe w dziedzinie nauk przyrodniczych i technicznych,Investigação e desenvolvimento das ciências físicas e naturais,Cercetare-dezvoltare în ştiinţe naturale şi inginerie,Научные исследования и экспериментальные разработки в области естественных наук и инженерии,Výskum a experimentálny vývoj v oblasti prírodných a technických vied,Raziskovalna in razvojna dejavnost na področju naravoslovja in tehnologije,Naturvetenskaplig och teknisk forskning och utveckling,Doğal bilimler ve mühendislikle ilgili araştırma ve deneysel geliştirme faaliyetleri
noga-m-72,nace-72-2,division,group,72,72.2,https://register.ld.admin.ch/i14y/concept/nogaCode/72,http://data.europa.eu/ux2/nace2/722,M,Scientific research and development,Forschung und Entwicklung,Recherche développement scientifique,Ricerca scientifica e sviluppo,Research and experimental development on social sciences and humanities,Научноизследователска и развойна дейност в областта на обществените и хуманитарните науки,Výzkum a vývoj v oblasti společenských a humanitních věd,Forskning og eksperimentel udvikling inden for samfundsvidenskab og humanistiske videnskaber,"Forschung und Entwicklung im Bereich Rechts-, Wirtschafts- und Sozialwissenschaften sowie im Bereich Sprach-, Kultur- und Kunstwissenschaften",Έρευνα και πειραματική ανάπτυξη στις κοινωνικές και ανθρωπιστικές επιστήμες,Investigación y desarrollo experimental en ciencias sociales y humanidades,Teadus- ja arendustegevus sotsiaal- ja humanitaarteaduste vallas,Yhteiskuntatieteellinen ja humanistinen tutkimus ja kehittäminen,Recherche-développement en sciences humaines et sociales,Istraživanje i eksperimentalni razvoj u društvenim i humanističkim znanostima,"Társadalomtudományi, humán kutatás, fejlesztés",Ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche,Socialinių ir humanitarinių mokslų moksliniai tyrimai ir taikomoji veikla,Pētījumu un eksperimentālo izstrāžu veikšana sociālajās un humanitārajās zinātnēs,Riċerka u żvilupp esperimentali dwar xjenzi soċjali u l-umanitajiet,Speur- en ontwikkelingswerk op het gebied van de maatschappij- en geesteswetenschappen,Forskning og utviklingsarbeid innen samfunnsvitenskap og humanistiske fag,Badania naukowe i prace rozwojowe w dziedzinie nauk społecznych i humanistycznych,Investigação e desenvolvimento das ciências sociais e humanas,Cercetare-dezvoltare în ştiinţe sociale şi umaniste,Исследования и экспериментальные разработки в области общественных и гуманитарных наук,Výskum a experimentálny vývoj v oblasti spoločenských a humanitných vied,Raziskovalna in razvojna dejavnost na področju družboslovja in humanistike,Samhällsvetenskaplig och humanistisk forskning och utveckling,Sosyal bilimlerle ve beşeri bilimlerle ilgili araştırma ve deneysel geliştirme faaliyetleri
noga-m-73,nace-73-1,division,group,73,73.1,https://register.ld.admin.ch/i14y/concept/nogaCode/73,http://data.europa.eu/ux2/nace2/731,M,Advertising and market research,Werbung und Marktforschung,Publicité et études de marché,Pubblicità e ricerche di mercato,Advertising,Рекламна дейност,Reklamní činnosti,Reklame,Werbung,Διαφήμιση,Publicidad,Reklaamindus,Mainostoiminta,Publicité,Promidžba (reklama i propaganda),Reklám,Pubblicità,Reklama,Reklāmas pakalpojumi,Riklamar,Reclamewezen,Annonse- og reklamevirksomhet,Reklama,Publicidade,Publicitate,Реклама,Reklama,Oglaševanje,Reklamverksamhet,Reklamcılık
noga-m-73,nace-73-2,division,group,73,73.2,https://register.ld.admin.ch/i14y/concept/nogaCode/73,http://data.europa.eu/ux2/nace2/732,M,Advertising and market research,Werbung und Marktforschung,Publicité et études de marché,Pubblicità e ricerche di mercato,Market research and public opinion polling,Проучване на пазари и изследване на общественото мнение,Průzkum trhu a veřejného mínění,Markedsanalyse og offentlig meningsmåling,Markt- und Meinungsforschung,Έρευνα αγοράς και δημοσκοπήσεις,Estudios de mercado y realización de encuestas de opinión pública,Turu-uuringud ja avaliku arvamuse küsitlused,Markkina- ja mielipidetutkimukset,Études de marché et sondages,Istraživanje tržišta i ispitivanje javnoga mnijenja,"Piac-, közvélemény-kutatás",Ricerche di mercato e sondaggi di opinione,Rinkos tyrimas ir viešosios nuomonės apklausa,Tirgus un sabiedriskās domas izpēte,Riċerka dwar is-suq u stħarriġ tal-fehma pubblika,Markt- en opinieonderzoekbureaus,Markeds- og opinionsundersøkelser,Badanie rynku i opinii publicznej,Estudos de mercado e sondagens de opinião,Activităţi de studiere a pieţei şi de sondare a opiniei publice,Исследование конъюнктуры рынка и изучение общественного мнения,Prieskum trhu a verejnej mienky,Raziskovanje trga in javnega mnenja,Marknads- och opinionsundersökning,Piyasa ve kamuoyu araştırma faaliyetleri
noga-m-74,nace-74-1,division,group,74,74.1,https://register.ld.admin.ch/i14y/concept/nogaCode/74,http://data.europa.eu/ux2/nace2/741,M,"Other professional, scientific and technical activities","Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten","Autres activités spécialisées, scientifiques et techniques","Altre attività professionali, scientifiche e tecniche",Specialised design activities,Специализирани дейности в областта на дизайна,Specializované návrhářské činnosti,Specialiseret designarbejde,"Ateliers für Textil-, Schmuck-, Grafik- u. ä. Design",Δραστηριότητες ειδικευμένου σχεδίου,Actividades de diseño especializado,Disainerite tegevus,Taideteollinen muotoilu ja suunnittelu,Activités spécialisées de design,Specijalizirane dizajnerske djelatnosti,"Divat-, formatervezés",Attività di design specializzate,Specializuota projektavimo veikla,Specializētie projektēšanas darbi,Attivitajiet speċjali ta' disinn,Gespecialiseerde designers,Spesialisert designvirksomhet,Działalność w zakresie specjalistycznego projektowania,Actividades especializadas de design,Activităţi de design specializat,Специализированные работы по дизайну,Špecializované dizajnérske činnosti,"Oblikovanje, aranžerstvo, dekoraterstvo",Specialiserad designverksamhet,Uzmanlaşmış tasarım faaliyetleri
noga-m-74,nace-74-2,division,group,74,74.2,https://register.ld.admin.ch/i14y/concept/nogaCode/74,http://data.europa.eu/ux2/nace2/742,M,"Other professional, scientific and technical activities","Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten","Autres activités spécialisées, scientifiques et techniques","Altre attività professionali, scientifiche e tecniche",Photographic activities,Дейности в областта на фотографията,Fotografické činnosti,Fotografisk virksomhed,Fotografie und Fotolabors,Φωτογραφικές δραστηριότητες,Actividades de fotografía,Fotograafia,Valokuvaustoiminta,Activités photographiques,Fotografske djelatnosti,Fényképészet,Attività fotografiche,Fotografavimo veikla,Fotopakalpojumi,Attivitajiet fotografiċi,Fotografen,Fotografvirksomhet,Działalność fotograficzna,Actividades fotográficas,Activităţi fotografice,Деятельность в области фотографии,Fotografické činnosti,Fotografska dejavnost,Fotoverksamhet,Fotoğrafçılık faaliyetleri
noga-m-74,nace-74-3,division,group,74,74.3,https://register.ld.admin.ch/i14y/concept/nogaCode/74,http://data.europa.eu/ux2/nace2/743,M,"Other professional, scientific and technical activities","Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten","Autres activités spécialisées, scientifiques et techniques","Altre attività professionali, scientifiche e tecniche",Translation and interpretation activities,Преводаческа дейност,Překladatelské a tlumočnické činnosti,Oversættelse og tolkning,Übersetzen und Dolmetschen,Δραστηριότητες μετάφρασης και διερμηνείας,Actividades de traducción e interpretación,Kirjalik ja suuline tõlge,Kääntäminen ja tulkkaus,Traduction et interprétation,Prevoditeljske djelatnosti i usluge tumača,"Fordítás, tolmácsolás",Traduzione e interpretariato,Vertimo raštu ir žodžiu veikla,Tulkošanas un tulku pakalpojumi,Attivitajiet ta' traduzzjoni u interpretazzjoni,Vertalers en tolken,Oversettelses- og tolkevirksomhet,Działalność związana z tłumaczeniami,Actividades de tradução e interpretação,Activităţi de traducere scrisă şi orală (interpreţi),Переводческое (устное и письменное) дело,Prekladateľské a tlmočnícke činnosti,Prevajanje in tolmačenje,Översättning och tolkning,Tercüme ve sözlü tercüme faaliyetleri
noga-m-74,nace-74-9,division,group,74,74.9,https://register.ld.admin.ch/i14y/concept/nogaCode/74,http://data.europa.eu/ux2/nace2/749,M,"Other professional, scientific and technical activities","Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten","Autres activités spécialisées, scientifiques et techniques","Altre attività professionali, scientifiche e tecniche","Other professional, scientific and technical activities n.e.c.","Други професионални дейности, некласифицирани другаде","Ostatní odborné, vědecké a technické činnosti j. n.","Andre liberale, videnskabelige og tekniske tjenesteydelser i.a.n.","Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten a. n. g.","Άλλες επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες π.δ.κ.α.","Otras actividades profesionales, científicas y técnicas n.c.o.p.","Muu mujal liigitamata kutse-, teadus- ja tehnikaalane tegevus",Muualla luokittelemattomat erikoistuneet palvelut liike-elämälle,"Autres activités spécialisées, scientifiques et techniques n.c.a.","Ostale stručne, znanstvene i tehničke djelatnosti, d. n.","M.n.s. egyéb szakmai, tudományos, műszaki tevékenység","Altre attività professionali, scientifiche e tecniche n.c.a.","Kita, niekur kitur nepriskirta, profesinė, mokslinė ir techninė veikla","Citur neklasificēti profesionālie, zinātniskie un tehniskie pakalpojumi","Attivitajiet oħra professjonali, xjentifiċi u tekniċi n.e.c.","Overige vrije beroepen en overige wetenschappelijke en technische activiteiten, n.e.g.","Annen faglig, vitenskapelig og teknisk virksomhet","Działalność profesjonalna, naukowa i techniczna, pozostała gdzie indziej niesklasyfikowana","Outras actividades de consultoria, científicas, técnicas e similares, n.e.","Alte activităţi profesionale, stiinţifice şi tehnice n.c.a.","Прочая профессиональная, научная и техническая деятельность, не включенная в другие категории","Ostatné odborné, vedecké a technické činnosti i. n.",Drugje nerazvrščene strokovne in tehnične dejavnosti,"Övrig verksamhet inom juridik, ekonomi, vetenskap och teknik","Başka yerde sınıflandırılmamış diğer mesleki, bilimsel ve teknik faaliyetler"
noga-m-75,nace-75-0,division,group,75,75.0,https://register.ld.admin.ch/i14y/concept/nogaCode/75,http://data.europa.eu/ux2/nace2/750,M,Veterinary activities,Veterinärwesen,Activités vétérinaires,Servizi veterinari,Veterinary activities,Ветеринарномедицинска дейност,Veterinární činnosti,Dyrlæger,Veterinärwesen,Κτηνιατρικές δραστηριότητες,Actividades veterinarias,Veterinaaria,Eläinlääkintäpalvelut,Activités vétérinaires,Veterinarske djelatnosti,Állat-egészségügyi ellátás,Servizi veterinari,Veterinarinė veikla,Veterinārie pakalpojumi,Attivitajiet veterinarji,Veterinaire diensten,Veterinærtjenester,Działalność weterynaryjna,Actividades veterinárias,Activităţi veterinare,Ветеринарная деятельность,Veterinárne činnosti,Veterinarstvo,Veterinärverksamhet,Veterinerlik hizmetleri
noga-n-77,nace-77-1,division,group,77,77.1,https://register.ld.admin.ch/i14y/concept/nogaCode/77,http://data.europa.eu/ux2/nace2/771,N,Rental and leasing activities,Vermietung von beweglichen Sachen,Activités de location et location-bail,Attività di noleggio e leasing,Rental and leasing of motor vehicles,Даване под наем и оперативен лизинг на автомобили,"Pronájem a leasing motorových vozidel, kromě motocyklů",Udlejning og leasing af motorkøretøjer,Vermietung von Kraftwagen,Ενοικίαση και εκμίσθωση μηχανοκίνητων οχημάτων,Alquiler de vehículos de motor,Mootorsõidukite rentimine ja kasutusrent,Moottoriajoneuvojen vuokraus ja leasing,Location et location-bail de véhicules automobiles,Iznajmljivanje i davanje u zakup (leasing) motornih vozila,Gépjárművkölcsönzés,Noleggio e leasing di autoveicoli,Variklinių transporto priemonių nuoma ir išperkamoji nuoma,Automobiļu iznomāšana un ekspluatācijas līzings,Kiri u leasing ta' vetturi bil-mutur,Verhuur en lease van auto's,Utleie og leasing av motorvogner,Wynajem i dzierżawa pojazdów samochodowych,Aluguer de veículos automóveis,Activităţi de închiriere şi leasing cu autovehicule,Аренда и лизинг моторных транспортных средств,Prenájom a lízing motorových vozidiel,Dajanje motornih vozil v najem in zakup,Uthyrning och leasing av motorfordon,Motorlu kara taşıtlarının kiralanması ve leasingi
noga-n-77,nace-77-2,division,group,77,77.2,https://register.ld.admin.ch/i14y/concept/nogaCode/77,http://data.europa.eu/ux2/nace2/772,N,Rental and leasing activities,Vermietung von beweglichen Sachen,Activités de location et location-bail,Attività di noleggio e leasing,Rental and leasing of personal and household goods,Даване под наем и оперативен лизинг на лични и домакински вещи,Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost,Udlejning og leasing af varer til personlig brug og husholdningsbrug,Vermietung von Gebrauchsgütern,Ενοικίαση και εκμίσθωση ειδών προσωπικής ή οικιακής χρήσης,Alquiler de efectos personales y artículos de uso doméstico,Tarbeesemete ja kodumasinate väljaüürimine ja kasutusrent,Henkilökohtaisten ja kotitaloustavaroiden vuokraus ja leasing,Location et location-bail de biens personnels et domestiques,Iznajmljivanje i davanje u zakup (leasing) predmeta za osobnu uporabu i kućanstvo,"Személyi használatú, háztartási cikk kölcsönzése,",Noleggio e leasing di beni per uso personale e per la casa,Asmeninių ir namų ūkio prekių nuoma ir išperkamoji nuoma,Individuālās lietošanas un mājsaimniecības piederumu iznomāšana un ekspluatācijas līzings,Kiri u leasing ta' oġġetti personali u għad-dar,Verhuur en lease van consumentenartikelen,Utleie og leasing av husholdningsvarer og varer til personlig bruk,Wypożyczanie i dzierżawa artykułów użytku osobistego i domowego,Aluguer de bens de uso pessoal e doméstico,Activităţi de închiriere şi leasing cu bunuri personale şi gospodăreşti,Аренда и лизинг предметов личного потребления и бытовых товаров,Prenájom a lízing osobných potrieb a potrieb pre domácnosť,Dajanje športne opreme in izdelkov za široko rabo v najem in zakup,Uthyrning och leasing av hushållsartiklar och varor för personligt bruk,Kişisel eşyaların ve ev eşyalarının kiralanması ve leasingi
noga-n-77,nace-77-3,division,group,77,77.3,https://register.ld.admin.ch/i14y/concept/nogaCode/77,http://data.europa.eu/ux2/nace2/773,N,Rental and leasing activities,Vermietung von beweglichen Sachen,Activités de location et location-bail,Attività di noleggio e leasing,"Rental and leasing of other machinery, equipment and tangible goods",Даване под наем и оперативен лизинг на други машини и оборудване със стопанско предназначение,"Pronájem a leasing ostatních strojů, zařízení a hmotných statků","Udlejning og leasing af andet materiel, udstyr og andre materielle aktiver","Vermietung von Maschinen, Geräten und sonstigen beweglichen Sachen","Ενοικίαση και εκμίσθωση άλλων μηχανημάτων, ειδών εξοπλισμού και υλικών αγαθών","Alquiler de otra maquinaria, equipos y bienes tangibles","Muude masinate, seadmete ja materiaalse vara rentimine ja kasutusrent",Koneiden ja laitteiden vuokraus ja leasing,"Location et location-bail d'autres machines, équipements et biens","Iznajmljivanje i davanje u zakup (leasing) ostalih strojeva, opreme te materijalnih dobara","Egyéb gép, tárgyi eszköz kölcsönzése","Noleggio e leasing di altre macchine, attrezzature e beni materiali","Kitų mašinų, įrangos ir materialiųjų vertybių nuoma ir išperkamoji nuoma","Pārējo darba mašīnu, iekārtu un materiālo līdzekļu iznomāšana un ekspluatācijas līzings","Kiri u leasing ta' makkinarju, tagħmir u oġġetti tanġibbli oħra",Verhuur en lease van andere machines en werktuigen en andere materiële goederen,"Utleie og leasing av andre maskiner, og annet utstyr og materiell","Wynajem i dzierżawa pozostałych maszyn, urządzeń oraz dóbr materialnych",Aluguer de outras máquinas e equipamentos,"Activităţi de închiriere şi leasing cu alte maşini, echipamente şi bunuri tangibile","Аренда и лизинг прочих машин, оборудования и материальных средств","Prenájom a lízing ostatných strojov, zariadení a iného hmotného majetku","Dajanje strojev, naprav in drugih opredmetenih sredstev v najem in zakup",Uthyrning och leasing av annan utrustning och andra maskiner och materiella tillgångar,"Diğer makine, ekipman ve maddi malların kiralanması ve leasingi"
noga-n-77,nace-77-4,division,group,77,77.4,https://register.ld.admin.ch/i14y/concept/nogaCode/77,http://data.europa.eu/ux2/nace2/774,N,Rental and leasing activities,Vermietung von beweglichen Sachen,Activités de location et location-bail,Attività di noleggio e leasing,"Leasing of intellectual property and similar products, except copyrighted works","Оперативен лизинг на интелектуална собственост и сходни продукти, без обектите на авторско право","Leasing duševního vlastnictví a podobných produktů, kromě děl chráněných autorským právem","Leasing af intellektuelle ejendomsrettigheder og lignende produkter, dog ikke ophavsretbeskyttede værker",Leasing von nichtfinanziellen immateriellen Vermögensgegenständen (ohne Copyrights),"Εκμίσθωση πνευματικής ιδιοκτησίας και παρεμφερών προϊόντων, με εξαίρεση τα έργα με δικαιώματα πνευματικής ιδιοκτησίας","Arrendamiento de la propiedad intelectual y productos similares, excepto trabajos protegidos por los derechos de autor",Intellektuaalomandi ja sarnaste toodete (v.a autoriõigusega tööd) rentimine,Henkisen omaisuuden ja vastaavien tuotteiden leasing (pl. tekijänoikeuden suojaamat teokset),"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright","Davanje u zakup (leasing) prava na uporabu intelektualnog vlasnišva i sličnih proizvoda, osim radova koji su zaštićeni autorskim pravima",Immateriális javak kölcsönzése,"Leasing di prodotti di proprietà intellettuale e simili, ad eccezione delle opere soggette a diritto d'autore","Intelektinės nuosavybės ir panašių produktų, išskyrus autorių teisių ginamus kūrinius, išperkamoji nuoma","Intelektuālā īpašuma un līdzīgu darbu līzings, izņemot autortiesību objektus","Leasing ta' proprjetà intelletwali u ta' prodotti simili, ħlief xogħolijiet bid-dritt ta' l-awtur","Lease van intellectuele eigendom en vergelijkbare producten, met uitzondering van werken onder auteursrecht","Leasing av immateriell eiendom og lignende produkter, unntatt opphavsrettsbeskyttede verker","Dzierżawa własności intelektualnej i podobnych produktów, z wyłączeniem prac chronionych prawem autorskim","Locação de propriedade intelectual e produtos semelhantes, exceptuando obras protegidas por direitos de autor",Leasing cu bunuri intangibile (exclusiv financiare),"Аренда интеллектуальной собственности и подобной продукции, за исключением работ с защищенными авторскими правами",Lízing duševného vlastníctva a podobných produktov okrem prác chránených autorskými právami,"Dajanje pravic uporabe intelektualne lastnine v zakup, razen avtorsko zaščitenih del","Leasing av immateriell egendom och liknande produkter, med undantag för upphovsrättsskyddade verk",Fikri mülkiyet haklarının ve benzer ürünlerin leasingi (Telif hakkı alınmış olan çalışmalar hariç)
